1666323241747209728,0.67299,-0.41296,1.12435,-0.12262,0.95239,-0.03758,-0.27661,0.31461,-0.21151,0.45608,
1666323242269176320,2.36942,-1.99713,2.87856,-0.18575,0.82533,-0.10867,-0.52203,0.93981,-0.77324,0.99827,
1666323242791142912,1.97235,-1.03408,1.95676,-0.16126,0.89872,-0.07009,-0.40173,0.92836,-0.44548,0.72507,
1666323243316109312,2.55754,-1.32058,2.30286,-0.16382,0.89556,-0.07287,-0.40722,1.04549,-0.52700,0.72407,
1666323243860574464,3.11687,-1.68534,2.86098,-0.16356,0.89447,-0.07400,-0.40951,1.09568,-0.59317,0.80853,
1666323244393040384,3.33385,-1.82274,3.03540,-0.16610,0.89180,-0.07334,-0.41440,0.69767,-0.38103,0.47851,
1666323244927006208,3.11965,-1.70475,2.72059,-0.17523,0.89262,-0.08101,-0.40738,0.54187,-0.23254,0.34270,
1666323245442973184,3.26157,-1.70745,2.74921,-0.17675,0.89476,-0.08464,-0.40126,0.46581,-0.15015,0.31581,
1666323245994937856,3.35291,-1.57693,2.66391,-0.17626,0.89577,-0.08630,-0.39885,0.39329,0.00292,0.26258,
1666323246546902528,2.61940,-0.90942,2.17685,-0.18938,0.88985,-0.08887,-0.40548,0.15617,0.22618,0.10567,
1666323247085368064,2.46074,-0.74210,2.10567,-0.19195,0.88816,-0.09150,-0.40738,0.08266,0.27618,0.06292,
1666323247605834752,2.48996,-0.50871,2.15977,-0.19367,0.88772,-0.09148,-0.40754,0.09713,0.29539,0.08030,
1666323248123301632,2.53118,-0.39163,2.18670,-0.19406,0.88767,-0.09261,-0.40720,0.09740,0.29241,0.07542,
1666323248783259392,2.62054,-0.09405,2.26877,-0.19535,0.88756,-0.09216,-0.40692,0.12011,0.31144,0.12229,
1666323249392220416,2.67112,0.10186,2.31582,-0.19450,0.88764,-0.09177,-0.40723,0.09617,0.32565,0.09346,
1666323249908187392,2.73065,0.34316,2.37505,-0.19460,0.88757,-0.09086,-0.40755,0.10907,0.32973,0.10059,
1666323250443653120,2.77533,0.50525,2.41859,-0.19439,0.88757,-0.09073,-0.40769,0.11194,0.32553,0.09780,
1666323251007617024,2.81958,0.70058,2.47555,-0.19471,0.88726,-0.09032,-0.40828,0.07985,0.31700,0.09088,
1666323251549082368,2.89591,0.87761,2.53384,-0.19581,0.88723,-0.09064,-0.40775,0.05998,0.35175,0.06737,
1666323252084548096,2.94675,1.08673,2.59915,-0.19661,0.88683,-0.09057,-0.40825,0.08058,0.34060,0.10114,
1666323252617014016,3.00586,1.21233,2.63263,-0.19804,0.88651,-0.09160,-0.40803,0.07937,0.33177,0.07279,
1666323253132980992,3.07444,1.34151,2.68923,-0.20014,0.88647,-0.09273,-0.40683,0.04213,0.32430,0.05266,
1666323253660947200,3.10532,1.49889,2.72544,-0.20134,0.88596,-0.09254,-0.40741,0.06380,0.27231,0.08003,
1666323254296906496,3.12406,1.59572,2.75160,-0.20344,0.88496,-0.09292,-0.40843,0.02567,0.24821,0.01792,
1666323254883368960,3.14359,1.66088,2.77422,-0.20479,0.88481,-0.09367,-0.40793,0.03212,0.14055,0.04158,
1666323255390336512,3.16905,1.72881,2.80724,-0.20255,0.88518,-0.09202,-0.40861,0.06172,0.04891,0.06524,
1666323255961799936,3.25162,1.86499,2.87037,-0.19760,0.88729,-0.08983,-0.40694,0.14293,-0.03035,0.13151,
1666323256464267776,3.27116,1.91854,2.89134,-0.19486,0.88870,-0.08853,-0.40546,0.05891,-0.00218,0.05786,
1666323256966735616,3.26091,1.89097,2.88252,-0.19484,0.88875,-0.08849,-0.40538,0.03441,-0.01700,0.04146,
